,n_features,data_successfully_preprocessed,clf,ba_mean,ba_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
115,20,True,svc,0.82,0.02,0.78,0.02,0.76,0.02,0.82,0.02
121,21,True,svc,0.82,0.02,0.78,0.02,0.76,0.02,0.82,0.02
103,18,True,svc,0.82,0.01,0.78,0.01,0.76,0.02,0.82,0.01
97,17,True,svc,0.82,0.02,0.78,0.02,0.75,0.02,0.82,0.02
109,19,True,svc,0.82,0.01,0.78,0.01,0.76,0.01,0.82,0.01
91,16,True,svc,0.82,0.02,0.77,0.02,0.74,0.02,0.82,0.02
85,15,True,svc,0.82,0.02,0.77,0.02,0.74,0.02,0.82,0.02
79,14,True,svc,0.82,0.02,0.75,0.02,0.73,0.02,0.82,0.02
73,13,True,svc,0.82,0.02,0.75,0.02,0.72,0.02,0.82,0.02
67,12,True,svc,0.78,0.02,0.71,0.02,0.69,0.02,0.78,0.02
61,11,True,svc,0.78,0.03,0.70,0.02,0.69,0.02,0.78,0.03
72,13,True,occ_svm_max,0.73,0.04,0.70,0.03,0.69,0.03,0.73,0.04
74,13,True,occ_nearest_mean,0.74,0.02,0.69,0.01,0.67,0.01,0.74,0.02
102,18,True,occ_svm_max,0.70,0.02,0.69,0.02,0.71,0.02,0.70,0.02
78,14,True,occ_svm_max,0.72,0.03,0.69,0.02,0.68,0.02,0.72,0.03
96,17,True,occ_svm_max,0.69,0.03,0.69,0.02,0.71,0.02,0.69,0.03
55,10,True,svc,0.77,0.03,0.69,0.03,0.67,0.03,0.77,0.03
84,15,True,occ_svm_max,0.71,0.03,0.69,0.02,0.69,0.02,0.71,0.03
90,16,True,occ_svm_max,0.70,0.03,0.69,0.02,0.69,0.02,0.70,0.03
49,9,True,svc,0.77,0.03,0.68,0.02,0.67,0.02,0.77,0.03
92,16,True,occ_nearest_mean,0.73,0.03,0.68,0.03,0.66,0.03,0.73,0.03
43,8,True,svc,0.77,0.03,0.68,0.02,0.67,0.02,0.77,0.03
86,15,True,occ_nearest_mean,0.73,0.03,0.68,0.02,0.66,0.02,0.73,0.03
98,17,True,occ_nearest_mean,0.73,0.03,0.68,0.03,0.66,0.03,0.73,0.03
108,19,True,occ_svm_max,0.67,0.03,0.67,0.03,0.70,0.02,0.67,0.03
68,12,True,occ_nearest_mean,0.73,0.02,0.67,0.02,0.65,0.02,0.73,0.02
120,21,True,occ_svm_max,0.66,0.03,0.67,0.03,0.71,0.03,0.66,0.03
114,20,True,occ_svm_max,0.66,0.03,0.67,0.03,0.71,0.03,0.66,0.03
60,11,True,occ_svm_max,0.71,0.03,0.67,0.02,0.67,0.02,0.71,0.03
80,14,True,occ_nearest_mean,0.73,0.02,0.67,0.02,0.65,0.01,0.73,0.02
104,18,True,occ_nearest_mean,0.72,0.02,0.67,0.02,0.65,0.02,0.72,0.02
66,12,True,occ_svm_max,0.70,0.03,0.67,0.02,0.67,0.02,0.70,0.03
50,9,True,occ_nearest_mean,0.73,0.03,0.67,0.02,0.64,0.02,0.73,0.03
44,8,True,occ_nearest_mean,0.73,0.02,0.67,0.02,0.64,0.02,0.73,0.02
56,10,True,occ_nearest_mean,0.72,0.03,0.67,0.03,0.64,0.03,0.72,0.03
62,11,True,occ_nearest_mean,0.73,0.02,0.66,0.02,0.64,0.01,0.73,0.02
110,19,True,occ_nearest_mean,0.71,0.03,0.66,0.02,0.64,0.02,0.71,0.03
42,8,True,occ_svm_max,0.69,0.03,0.65,0.03,0.65,0.03,0.69,0.03
54,10,True,occ_svm_max,0.69,0.03,0.64,0.02,0.64,0.02,0.69,0.03
38,7,True,occ_nearest_mean,0.71,0.04,0.64,0.02,0.62,0.02,0.71,0.04
37,7,True,svc,0.73,0.03,0.64,0.02,0.63,0.02,0.73,0.03
106,18,True,occ_nb,0.71,0.02,0.64,0.02,0.63,0.02,0.71,0.02
124,21,True,occ_nb,0.70,0.03,0.64,0.02,0.63,0.02,0.70,0.03
116,20,True,occ_nearest_mean,0.68,0.02,0.64,0.01,0.62,0.01,0.68,0.02
118,20,True,occ_nb,0.70,0.03,0.63,0.02,0.63,0.02,0.70,0.03
48,9,True,occ_svm_max,0.67,0.03,0.63,0.03,0.63,0.03,0.67,0.03
112,19,True,occ_nb,0.69,0.02,0.63,0.02,0.62,0.02,0.69,0.02
64,11,True,occ_nb,0.71,0.02,0.62,0.02,0.62,0.02,0.71,0.02
